#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 07 03 50 295  8.7 10.2  2.43 12.90  7.13 257 1005.1   8.0  10.5 999.0 99.0 99.00
2019 01 07 04 50 287  8.4 10.5  2.46 12.90  6.93 269 1006.3   8.3  10.5 999.0 99.0 99.00
2019 01 07 05 50 298  7.5  9.3  2.50 12.12  6.87 246 1006.7   8.3  10.5 999.0 99.0 99.00
2019 01 07 06 50 257  7.5 10.4  2.41  9.09  6.81 286 1008.2   6.9  10.5 999.0 99.0 99.00
2019 01 07 07 50 332  2.8  3.9  2.42  8.33  7.02 304 1009.1   7.9  10.5 999.0 99.0 99.00
2019 01 07 08 50 315  6.3  8.2  2.50  9.09  7.12 291 1010.0   8.3  10.5 999.0 99.0 99.00
2019 01 07 09 50 282  5.3  7.1  2.72 12.12  7.36 267 1011.0   8.8  10.5 999.0 99.0 99.00
2019 01 07 10 50 289  4.8  6.9  3.08 10.81  7.58 262 1012.2   8.8  10.4 999.0 99.0 99.00
2019 01 07 11 50 252  5.8  7.1  2.69 11.43  7.06 272 1012.7   8.8  10.4 999.0 99.0 99.00
2019 01 07 12 50 244  5.7  7.2  2.85 10.81  7.27 285 1013.6   8.8  10.4 999.0 99.0 99.00
2019 01 07 13 50 245  4.8  6.2  3.08 10.81  7.50 289 1014.8   8.9  10.4 999.0 99.0 99.00
2019 01 07 14 50 318  5.2  6.5  2.74 11.43  7.35 292 1015.3   7.9  10.4 999.0 99.0 99.00
2019 01 07 15 50 354  1.4  2.8  2.61 10.81  7.31 297 1015.9   8.1  10.4 999.0 99.0 99.00
2019 01 07 16 50  16  0.4  1.7  2.46 10.00  7.57 287 1016.9   8.2  10.4 999.0 99.0 99.00
2019 01 07 17 50  65  1.5  2.8  2.35 11.43  7.43 304 1017.8   8.4  10.5 999.0 99.0 99.00
2019 01 07 18 50  89  3.3  4.9  2.23 10.81  7.71 301 1018.3   8.7  10.5 999.0 99.0 99.00
2019 01 07 19 50 128  3.0  4.7  2.37 10.00  7.81 295 1018.1   9.0  10.5 999.0 99.0 99.00
2019 01 07 20 50 123  4.7  6.1  2.43 12.12  8.13 287 1018.0   9.0  10.5 999.0 99.0 99.00
2019 01 07 21 50 111  6.3  8.1  2.19 10.81  7.68 329 1018.0   8.9  10.5 999.0 99.0 99.00
2019 01 07 22 50 117  7.5  9.3  2.27 10.81  7.65 329 1018.3   9.0  10.5 999.0 99.0 99.00
2019 01 07 23 50 105  8.6 10.6  2.20 10.00  7.14 323 1018.4   8.8  10.4 999.0 99.0 99.00
2019 01 08 00 50 120  9.7 12.0  2.02 10.81  6.13 311 1017.6   9.1  10.5 999.0 99.0 99.00
2019 01 08 01 50 111 11.5 14.6  2.00 10.00  5.97 319 1016.5   9.1  10.4 999.0 99.0 99.00
2019 01 08 02 50 108 11.1 13.6  2.14  9.09  5.44 348 1016.7   9.1  10.4 999.0 99.0 99.00
2019 01 08 03 50 106 12.0 14.3  2.16 10.00  5.46 324 1015.6   9.4  10.5 999.0 99.0 99.00
2019 01 08 04 50 111 12.2 14.7  2.09  5.26  5.38 140 1014.8   9.1  10.5 999.0 99.0 99.00
2019 01 08 05 50 112 11.0 13.1  2.20  5.88  5.59 137 1014.6   9.3  10.5 999.0 99.0 99.00
2019 01 08 06 50 109 11.5 13.8  2.23  5.88  5.48 133 1013.4   9.3  10.5 999.0 99.0 99.00
2019 01 08 07 50 111 12.7 15.1  2.37  6.25  5.43 125 1012.6   9.4  10.5 999.0 99.0 99.00
2019 01 08 08 50 119 12.7 15.9  2.48  6.25  5.63 135 1011.5   9.5  10.4 999.0 99.0 99.00
2019 01 08 09 50 118 12.4 15.2  2.50  6.25  5.48 132 1010.6   9.1  10.4 999.0 99.0 99.00
2019 01 08 10 50 121 13.6 17.0  2.59  6.67  5.49 140 1009.8   8.7  10.5 999.0 99.0 99.00
2019 01 08 11 50 123 14.2 16.7  3.06  6.67  5.85 146 1008.4   8.9  10.5 999.0 99.0 99.00
2019 01 08 12 50 127 13.5 16.8  3.00  6.67  5.70 146 1007.7   9.1  10.5 999.0 99.0 99.00
2019 01 08 13 50 127 13.7 16.2  3.12  6.67  5.85 135 1006.9   9.4  10.6 999.0 99.0 99.00
2019 01 08 14 50 132 13.1 15.9  3.46  6.67  6.21 124 1006.2  10.0  10.6 999.0 99.0 99.00
2019 01 08 15 50 134 13.1 15.6  3.89 10.00  6.64 214 1005.1  10.5  10.6 999.0 99.0 99.00
2019 01 08 16 50 138 13.7 16.3  4.09 10.00  6.71 203 1004.6  10.6  10.6 999.0 99.0 99.00
2019 01 08 17 50 142 13.8 17.5  4.18 10.00  6.98 198 1004.4  11.7  10.6 999.0 99.0 99.00
2019 01 08 18 50 145 12.9 15.5  4.08  8.33  6.90 194 1004.2  11.4  10.6 999.0 99.0 99.00
2019 01 08 19 50 148 13.2 16.1  4.12 10.00  7.02 200 1003.1  11.6  10.6 999.0 99.0 99.00
2019 01 08 20 50 147 13.0 16.3  4.36 10.00  7.25 198 1002.3  12.1  10.6 999.0 99.0 99.00
2019 01 08 21 50 140 11.4 13.8  4.39 10.81  7.28 190 1002.0  11.1  10.6 999.0 99.0 99.00
2019 01 08 22 50 154 12.9 15.8  4.25 11.43  7.47 193 1001.7  12.0  10.6 999.0 99.0 99.00
2019 01 08 23 50 163 12.2 15.0  4.34 12.12  7.51 191 1001.5  11.9  10.6 999.0 99.0 99.00
2019 01 09 00 50 168 13.7 16.9  4.77 12.12  7.86 194 1001.3  12.3  10.6 999.0 99.0 99.00
2019 01 09 01 50 167 13.1 18.5  4.92 11.43  7.92 191 1001.3  12.4  10.6 999.0 99.0 99.00
2019 01 09 02 50 165 12.7 16.0  5.55 12.12  8.52 200 1001.1  11.7  10.6 999.0 99.0 99.00
2019 01 09 03 50 139 11.3 13.7  5.70 11.43  8.60 214 1001.1  11.0  10.6 999.0 99.0 99.00
2019 01 09 04 50 155 10.9 13.4  6.64 12.12  9.29 209 1000.6  11.8  10.6 999.0 99.0 99.00
2019 01 09 05 50 149 11.9 15.2  6.15 12.90  8.97 218 1000.0  11.5  10.5 999.0 99.0 99.00
2019 01 09 06 50 156 13.9 17.0  7.17 12.12  9.94 213  999.6  11.9  10.5 999.0 99.0 99.00
2019 01 09 07 50 145 11.8 14.4  6.56 12.12  9.32 207  999.3  11.3  10.4 999.0 99.0 99.00
2019 01 09 08 50 155 13.8 17.9  6.41 12.12  9.27 200  998.1  12.0  10.4 999.0 99.0 99.00
2019 01 09 09 50 159 13.8 17.5  6.55 13.79  9.22 231  998.2  12.0  10.4 999.0 99.0 99.00
2019 01 09 10 50 159 14.2 16.9  6.22 11.43  9.05 213  998.3  11.8  10.4 999.0 99.0 99.00
2019 01 09 11 50 158 13.4 15.9  6.10 12.90  8.88 219  997.4  11.6  10.4 999.0 99.0 99.00
2019 01 09 12 50 160 16.2 19.6  6.36 12.90  8.95 220  996.4  11.3  10.4 999.0 99.0 99.00
2019 01 09 13 50 164 14.4 18.0  6.34 12.12  9.15 212  996.3  11.3  10.4 999.0 99.0 99.00
2019 01 09 14 50 162 15.1 19.0  6.21 12.90  8.78 209  996.1  11.7  10.4 999.0 99.0 99.00
2019 01 09 15 50 162 13.9 17.4  6.10 12.90  8.67 217  996.2  11.3  10.4 999.0 99.0 99.00
2019 01 09 16 50 166 14.6 17.9  5.99 11.43  8.59 194  996.4  11.8  10.4 999.0 99.0 99.00
2019 01 09 17 50 167 15.4 19.5  6.04 10.81  8.78 192  996.7  11.7  10.4 999.0 99.0 99.00
2019 01 09 18 50 174 14.4 18.3  5.65 12.90  8.57 210  997.1  11.4  10.4 999.0 99.0 99.00
2019 01 09 19 50 178 13.5 17.3  5.71 12.12  8.21 209  997.1  11.5  10.4 999.0 99.0 99.00
2019 01 09 20 50 184 13.2 16.8  6.16 12.12  8.77 206  997.3  11.7  10.4 999.0 99.0 99.00
2019 01 09 21 50 184 12.5 16.4  5.91 12.12  8.84 201  997.8  11.6  10.4 999.0 99.0 99.00
2019 01 09 22 50 188 12.7 16.1  5.93 12.12  8.78 203  998.8  11.5  10.4 999.0 99.0 99.00
2019 01 09 23 50 194 11.9 14.5  5.84 12.12  8.78 201 1000.3  11.5  10.4 999.0 99.0 99.00
2019 01 10 00 50 195 11.2 14.3  5.17 11.43  8.25 200 1001.9  11.4  10.5 999.0 99.0 99.00
2019 01 10 01 50 195 11.0 13.2  5.22 11.43  8.43 192 1003.3  11.3  10.5 999.0 99.0 99.00
2019 01 10 02 50 194 10.1 12.5  4.98 12.12  8.45 204 1004.7  11.3  10.4 999.0 99.0 99.00
2019 01 10 03 50 196  9.6 12.1  4.94 11.43  8.43 205 1006.0  11.1  10.4 999.0 99.0 99.00
2019 01 10 04 50 194  9.1 10.9  4.77 11.43  8.59 188 1007.2  11.0  10.4 999.0 99.0 99.00
2019 01 10 05 50 195  9.3 11.4  4.46 11.43  8.20 200 1008.1  11.0  10.4 999.0 99.0 99.00
2019 01 10 06 50 195  9.2 11.4  4.21 11.43  8.00 206 1009.0  11.0  10.4 999.0 99.0 99.00
2019 01 10 07 50 193  8.3 10.3  3.60 10.81  7.58 183 1009.8  10.6  10.4 999.0 99.0 99.00
2019 01 10 08 50 194  9.1 11.3  3.69 10.81  7.61 199 1010.6  10.7  10.4 999.0 99.0 99.00
2019 01 10 09 50 194  8.7 10.5  3.72 10.00  7.55 193 1011.5  10.7  10.4 999.0 99.0 99.00
2019 01 10 10 50 203 10.4 12.7  3.53 10.00  7.51 193 1012.5   9.9  10.4 999.0 99.0 99.00
2019 01 10 11 50 188  8.6 10.8  3.99 10.81  8.00 203 1012.5  10.1  10.4 999.0 99.0 99.00
2019 01 10 12 50 175  8.2 10.4  3.27 12.12  7.26 221 1012.6  10.7  10.4 999.0 99.0 99.00
2019 01 10 13 50 173  9.4 11.6  3.50 11.43  7.44 218 1012.3  10.8  10.4 999.0 99.0 99.00
2019 01 10 14 50 174  9.3 11.3  3.68 10.00  7.44 212 1012.6  11.0  10.4 999.0 99.0 99.00
2019 01 10 15 50 165  9.8 11.6  3.27 10.81  7.18 233 1012.9  11.1  10.4 999.0 99.0 99.00
2019 01 10 16 50 163 10.1 12.0  3.63 10.81  7.41 237 1013.3  11.2  10.4 999.0 99.0 99.00
2019 01 10 17 50 161 11.0 13.3  3.25 10.81  7.09 223 1013.6  11.2  10.4 999.0 99.0 99.00
